,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SR NO,MODEL NAME,Provider,Type,Duration (Seconds),Resolution (Upto),Aspect Ratio,PRICE TO PAY (per image),OVER CHARGE (per image),USER COST (per image),Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (2000),Max Amount
41,Chatter Box HD,Fal,T2S/S2S,2000 Characters,Invalid,,0.08,0.01,0.09,180,,68.66666667,137.3333333,343.3333333,1098.666667,11.11111111,
42,Chatter Box Multilingual,Fal,T2S,1000 Characters,Invalid,,0.025,0.01,0.035,70,,176.5714286,353.1428571,882.8571429,2825.142857,28.57142857,
43,Chatter Box Multilingual,Fal,T2S,2000 Characters,Invalid,,0.05,0.01,0.06,120,,103,206,515,1648,16.66666667,
44,Cassette AI Sound Effects Generator,Fal,T2A,30,,,0.01,0.01,0.02,40,,309,618,1545,4944,50,
45,Sonauto v2 Inpaint,Fal,T2M,Invalid,,,0.075,0.01,0.085,170,,72.70588235,145.4117647,363.5294118,1163.294118,11.76470588,
46,Ace Step,Fal,T2A,240,,,0.048,0.01,0.058,116,,106.5517241,213.1034483,532.7586207,1704.827586,17.24137931,
47,Elevenlabs Sound-Effects v2,Fal,,22,,,0.044,0.01,0.054,108,,114.4444444,228.8888889,572.2222222,1831.111111,18.51851852,
48,MinMax Music 1.5 ,Fal,T2A,240,,,0.03,0.01,0.04,80,,154.5,309,772.5,2472,25,
49,Hailuo-01,Minmax,,6,512p,,0.1,0.01,0.11,220,,56.18181818,112.3636364,280.9090909,898.9090909,9.090909091,
50,Hailuo-02 ,Minmax,,10,512p,,0.15,0.01,0.16,320,,38.625,77.25,193.125,618,6.25,
51,Hailuo-02 ,Minmax,,6,768p,,0.28,0.01,0.29,580,,21.31034483,42.62068966,106.5517241,340.9655172,3.448275862,
52,Hailuo-02 ,Minmax,,10,768p,,0.56,0.01,0.57,1140,,10.84210526,21.68421053,54.21052632,173.4736842,1.754385965,
53,Hailuo-02 ,Minmax,,6,1080p,,0.49,0.01,0.5,1000,,12.36,24.72,61.8,197.76,2,
54,Veo3 ,Fal,T2V,4,,,1.6,0.03,1.63,3260,,3.791411043,7.582822086,18.95705521,60.66257669,0.6134969325,
55,Veo3,Fal,T2V,6,,,2.4,0.03,2.43,4860,,2.543209877,5.086419753,12.71604938,40.69135802,0.4115226337,
56,Veo3,Fal,T2V,8,,,3.2,0.03,3.23,6460,,1.913312693,3.826625387,9.566563467,30.6130031,0.3095975232,
57,Veo3,Fal,I2V,8,,,3.2,0.03,3.23,6460,,1.913312693,3.826625387,9.566563467,30.6130031,0.3095975232,
58,Veo3 fast ,Fal,T2V,4,,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
59,Veo3 fast ,Fal,T2V,6,,,0.9,0.03,0.93,1860,,6.64516129,13.29032258,33.22580645,106.3225806,1.075268817,
60,Veo3 fast ,Fal,T2V,8,,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
61,Veo3 fast ,Fal,I2V,8,,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
62,Gen-4  Aleph ,Runway API,,10,,,1.5,0.03,1.53,3060,,4.039215686,8.078431373,20.19607843,64.62745098,0.6535947712,
63,Gen-4  Turbo ,Runway API,,5,,,0.25,0.01,0.26,520,,23.76923077,47.53846154,118.8461538,380.3076923,3.846153846,
64,Gen-4  Turbo ,Runway API,,10,,,0.5,0.01,0.51,1020,,12.11764706,24.23529412,60.58823529,193.8823529,1.960784314,
65,Gen-3a Turbo ,Runway API,,5,,,0.25,0.01,0.26,520,,23.76923077,47.53846154,118.8461538,380.3076923,3.846153846,
66,Gen-3a Turbo ,Runway API,,10,,,0.5,0.01,0.51,1020,,12.11764706,24.23529412,60.58823529,193.8823529,1.960784314,
67,Kling 2.5 Turbo Pro,Replicate,T2V/I2V,5,,,0.42,0.03,0.45,900,,13.73333333,27.46666667,68.66666667,219.7333333,2.222222222,
68,Kling 2.5 Turbo Pro,Replicate,T2V/I2V,10,,,0.84,0.03,0.87,1740,,7.103448276,14.20689655,35.51724138,113.6551724,1.149425287,
69,Kling 2.1 Master,Replicate,,5,,,1.4,0.03,1.43,2860,,4.321678322,8.643356643,21.60839161,69.14685315,0.6993006993,
70,Kling 2.1 Master,Replicate,,10,,,2.8,0.03,2.83,5660,,2.183745583,4.367491166,10.91872792,34.93992933,0.3533568905,
71,Kling 2.1,Replicate,,5,720p,,0.25,0.03,0.28,560,,22.07142857,44.14285714,110.3571429,353.1428571,3.571428571,
72,Kling 2.1,Replicate,,5,1080p,,0.45,0.03,0.48,960,,12.875,25.75,64.375,206,2.083333333,
73,Kling 2.1,Replicate,,10,720p,,0.5,0.03,0.53,1060,,11.66037736,23.32075472,58.30188679,186.5660377,1.886792453,
74,Kling 2.1,Replicate,,10,1080p,,0.9,0.03,0.93,1860,,6.64516129,13.29032258,33.22580645,106.3225806,1.075268817,
75,Seedance 1.0 Pro,Replicate,T2V/I2V,5,480p,,0.15,0.03,0.18,360,,34.33333333,68.66666667,171.6666667,549.3333333,5.555555556,
76,Seedance 1.0 Pro,Replicate,T2V/I2V,5,720p,,0.3,0.03,0.33,660,,18.72727273,37.45454545,93.63636364,299.6363636,3.03030303,
77,Seedance 1.0 Pro,Replicate,T2V/I2V,5,1080p,,0.75,0.03,0.78,1560,,7.923076923,15.84615385,39.61538462,126.7692308,1.282051282,
78,Seedance 1.0 Pro,Replicate,T2V/I2V,10,480p,,0.3,0.03,0.33,660,,18.72727273,37.45454545,93.63636364,299.6363636,3.03030303,
79,Seedance 1.0 Pro,Replicate,T2V/I2V,10,720p,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
